location_id,location_name,latitude,longitude
LOCATION:127,MUAR,2.0442,102.5689
LOCATION:126,TANGKAK,2.2673,102.5453
LOCATION:125,LABIS,2.385,103.021
LOCATION:124,JOHOR BAHRU,1.4655,103.7578
LOCATION:122,AYER HITAM,1.915,103.1808
LOCATION:123,BATU PAHAT,1.8548,102.9325
LOCATION:131,MERSING,2.4312,103.8405
LOCATION:659,ISKANDAR PUTERI,1.4135905,103.6317194
LOCATION:129,KLUANG,2.0251,103.3328
LOCATION:768,NUSAJAYA,1.4239,103.6485
LOCATION:130,KOTA TINGGI,1.7381,103.8999
LOCATION:134,PONTIAN,1.5,103.5
LOCATION:135,SEGAMAT,2.5148,102.8158
LOCATION:136,SENAI,1.64131,103.66962
LOCATION:137,SIMPANG RENGGAM,1.825,103.3107
LOCATION:138,YONG PENG,2.0136,103.0659
LOCATION:133,PASIR GUDANG,1.462,103.9053
LOCATION:439,KULAI,1.532949,103.6450341
LOCATION:128,PAGOH,2.1495,102.7704
LOCATION:426,SERDANG,5.2093299,100.6119237
LOCATION:139,ALOR STAR,6.12104,100.36014
LOCATION:140,BALING,5.67806,100.9177
LOCATION:141,JITRA,6.26812,100.42167
LOCATION:142,KUALA NERANG,6.25844,100.61264
LOCATION:143,KULIM,5.32403,100.60851
LOCATION:145,PENDANG,5.98458,100.60732
LOCATION:146,POKOK SENA,6.17055,100.51885
LOCATION:147,SIK,6.03482,100.8603
LOCATION:148,SUNGAI PETANI,5.647,100.48772
LOCATION:149,YAN,5.7905,100.39426
LOCATION:154,KUALA KRAI,5.5313,102.19925
LOCATION:155,LOJING,4.7046137,101.5553148
LOCATION:156,MACHANG,5.76407,102.21414
LOCATION:158,PASIR PUTEH,5.83333,102.4
LOCATION:160,TANAH MERAH,5.66667,102.0
LOCATION:161,TUMPAT,6.19776,102.17098
LOCATION:153,KOTA BHARU,6.05666,102.26451
LOCATION:152,JELI,5.71493,101.88418
LOCATION:151,GUA MUSANG,4.8823,101.9644
LOCATION:150,BACHOK,6.06667,102.4
LOCATION:159,RANTAU PANJANG,6.021325,101.9732687
LOCATION:157,PASIR MAS,6.0424976,102.1427782
LOCATION:169,SETAPAK,3.18333,101.7
LOCATION:340,KUALA LUMPUR,3.1429996,101.6947998
LOCATION:162,AMPANG,3.15,101.76667
LOCATION:163,BANGSAR,3.12222,101.67606
LOCATION:164,BUKIT BINTANG,5.63052,102.6479
LOCATION:165,CHERAS,3.05,101.76667
LOCATION:166,JALAN DUTA,3.1484,101.6779
LOCATION:167,KEPONG,3.21667,101.63333
