location_id,location_name,latitude,longitude
LOCATION:488,PHUKET,,
LOCATION:490,PERAK,,
LOCATION:491,PENANG,,
LOCATION:492,PERLIS & KEDAH,,
LOCATION:495,SELANGOR,,
LOCATION:496,N. SEMBILAN,,
LOCATION:498,SAMUI,,
LOCATION:499,TIOMAN,,
LOCATION:500,KELANTAN,,
LOCATION:501,TERENGGANU,,
LOCATION:502,PAHANG,,
LOCATION:504,CONDORE,,
LOCATION:505,BUNGURAN,,
LOCATION:506,REEF SOUTH,,
LOCATION:507,WESTERN SARAWAK,,
LOCATION:508,NORTHERN SARAWAK,,
LOCATION:509,REEF NORTH,,
LOCATION:510,LAYANG-LAYANG ISLAND,,
LOCATION:511,PALAWAN,,
LOCATION:512,LABUAN,,
LOCATION:514,SULU,,
LOCATION:515,EASTERN SABAH,,
LOCATION:516,SULAWESI,,
LOCATION:517,LAHAD DATU,,
LOCATION:662,NORTHERN STRAITS OF MELAKA,,
LOCATION:663,SOUTHERN STRAITS OF MELAKA,,
LOCATION:664,WEST JOHOR,,
LOCATION:665,MELAKA,,
LOCATION:666,EAST JOHOR,,
LOCATION:670,WESTERN SABAH AND LABUAN,,
