id,magnitude,type,title,date,time,updated,url,detailUrl,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,geometryType,depth,latitude,longitude,place,location,continent,country,subnational,city,locality,postcode,what3words,timezone
usp0004jpd,5.6,earthquake,"M 5.6 - 155 km S of Sofifi, Indonesia",1990-12-23T21:03:03,661986183770,1651174317392,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004jpd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004jpd&format=geojson,0,0,6,,reviewed,0,482,us,p0004jpd,",gcmtb122390c,usp0004jpd,gcmt19901223210303,iscgem348522,atlas19901223210303,",",gcmt,us,gcmt,iscgem,atlas,",",focal-mechanism,impact-text,origin,phase-data,shakemap,trump-shakemap,",0,0,1.1,0,mw,Point,31.7,-0.656,127.387,"155 km S of Sofifi, Indonesia",S,,Indonesia,North Maluku,,Molucca Sea,,lotus.pressroom.mailman,540
usp0004j7w,5.5,earthquake,"M 5.5 - 85 km N of Gorontalo, Indonesia",1990-12-17T01:43:48,661398228650,1651174275144,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004j7w,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004j7w&format=geojson,0,0,4,,reviewed,0,465,us,p0004j7w,",gcmtb121790b,usp0004j7w,gcmt19901217014348,iscgem347647,",",gcmt,us,gcmt,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.2,0,mw,Point,33,1.298,123.188,"85 km N of Gorontalo, Indonesia","Gorontalo, Indonesia",,,,,Celebes Sea,,jointed.zippy.almost,480
usp0004j2m,6.2,earthquake,"M 6.2 - 88 km WSW of Tomohon, Indonesia",1990-12-13T12:26:40,661091200750,1651174216940,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004j2m,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004j2m&format=geojson,0,0,5,,reviewed,0,591,us,p0004j2m,",gcmtb121390c,usp0004j2m,gcmt19901213122640,atlas19901213122642,iscgem347240,",",gcmt,us,gcmt,atlas,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,trump-shakemap,",0,0,1.2,0,mw,Point,33,1.116,124.034,"88 km WSW of Tomohon, Indonesia","Tomohon, Indonesia",,Indonesia,North Sulawesi,,North Sulawesi,,encrypted.commemoration.sanguine,480
usp0004hkn,5.8,earthquake,"M 5.8 - 98 km WSW of Tomohon, Indonesia",1990-11-30T13:19:27,659971167640,1651174457315,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004hkn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004hkn&format=geojson,0,0,5,,reviewed,0,518,us,p0004hkn,",gcmtb113090a,usp0004hkn,gcmt19901130131928,atlas19901130131929,iscgem352089,",",gcmt,us,gcmt,atlas,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1,0,mw,Point,28.3,1.03,123.97,"98 km WSW of Tomohon, Indonesia","Tomohon, Indonesia",,Indonesia,North Sulawesi,,North Sulawesi,,tapas.amplifies.haggled,480
usp0004h98,5.5,earthquake,"M 5.5 - Mindanao, Philippines",1990-11-23T07:41:57,659346117960,1598660239450,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004h98,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004h98&format=geojson,0,0,4,,reviewed,0,465,us,p0004h98,",gcmtb112390b,usp0004h98,gcmt19901123074147,",",gcmt,us,gcmt,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.1,0,mw,Point,125,5.538,125.851,"Mindanao, Philippines","Mindanao, Philippines",,Philippines,,,Philippines maritime boundary,,mindfully.defrocked.perjury,480
usp0004h4k,5.8,earthquake,"M 5.8 - 80 km SSW of Ternate, Indonesia",1990-11-20T09:03:37,659091817130,1651174418244,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004h4k,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004h4k&format=geojson,0,0,4,,reviewed,0,518,us,p0004h4k,",gcmtb112090a,usp0004h4k,gcmt19901120090337,iscgem351080,",",gcmt,us,gcmt,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.1,0,mw,Point,114.1,0.171,127.01,"80 km SSW of Ternate, Indonesia","Ternate, Indonesia",,Indonesia,North Maluku,,Molucca Sea,,baristas.wrench.carbonates,540
usp0004gm7,5.7,earthquake,"M 5.7 - 7 km SSW of Pangyan, Philippines",1990-11-07T14:36:27,657988587790,1651174389585,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004gm7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004gm7&format=geojson,0,0,4,,reviewed,0,500,us,p0004gm7,",gcmtb110790a,usp0004gm7,gcmt19901107143624,iscgem349885,",",gcmt,us,gcmt,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.3,0,mw,Point,77.8,5.643,125.247,"7 km SSW of Pangyan, Philippines","Pangyan, Philippines",,Philippines,Soccsksargen,,Sarangani,,misapplied.mailed.unlike,480
usp0004g51,6.5,earthquake,"M 6.5 - 13 km E of Tidman, Philippines",1990-10-25T11:01:38,656852498720,1651174582980,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004g51,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004g51&format=geojson,0,0,6,,reviewed,0,650,us,p0004g51,",gcmtc102590c,usp0004g51,gcmt19901025110139,atlas19901025110140,iscgem354565,",",gcmt,us,gcmt,atlas,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,trump-shakemap,",0,0,1.1,0,mw,Point,44.1,8.307,126.462,"13 km E of Tidman, Philippines","Tidman, Philippines",,Philippines,Caraga,Hinatuan,Hinatuan,8310,bestowing.boggled.leggy,480
usp0004eh7,5.7,earthquake,"M 5.7 - 65 km N of Gorontalo, Indonesia",1990-09-09T22:29:27,652919367400,1651174649525,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004eh7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004eh7&format=geojson,0,0,4,,reviewed,0,500,us,p0004eh7,",gcmtb090990d,usp0004eh7,gcmt19900909222927,iscgem356017,",",gcmt,us,gcmt,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.3,0,mw,Point,33.7,1.126,123.006,"65 km N of Gorontalo, Indonesia","Gorontalo, Indonesia",,Indonesia,Gorontalo,,Gorontalo,,unquestioned.weaving.commune,480
usp0004eb8,5.8,earthquake,"M 5.8 - 21 km ENE of Hinatuan, Philippines",1990-09-05T07:11:05,652518665000,1651174629353,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004eb8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004eb8&format=geojson,0,0,4,,reviewed,0,518,us,p0004eb8,",gcmtb090590a,usp0004eb8,gcmt19900905071102,atlas19900905071102,iscgem355575,",",gcmt,us,gcmt,atlas,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.2,0,mw,Point,84.2,8.461,126.506,"21 km ENE of Hinatuan, Philippines","Hinatuan, Philippines",,Philippines,Caraga,Hinatuan,Hinatuan,8310,mountaineering.crosswords.curdling,480
