location_id,location_name,latitude,longitude
LOCATION:19,KLUANG,2.0251,103.3328
LOCATION:603,TANGKAK,2.2732482,102.5433991
LOCATION:20,KOTA TINGGI,1.7381,103.8999
LOCATION:22,MERSING,2.4312,103.8405
LOCATION:23,MUAR,2.0442,102.5689
LOCATION:18,JOHOR BAHRU,1.4655,103.7578
LOCATION:25,SEGAMAT,2.5148,102.8158
LOCATION:26,PONTIAN,1.51638,103.3839109
LOCATION:339,KULAI,1.6626699,103.5979733
LOCATION:17,BATU PAHAT,1.8548,102.9325
LOCATION:36,SIK,6.03482,100.8603
LOCATION:425,BANDAR BAHARU,5.1194376,100.5220948
LOCATION:37,YAN,5.7905,100.39426
LOCATION:35,POKOK SENA,6.17055,100.51885
LOCATION:34,PENDANG,5.98458,100.60732
LOCATION:33,PADANG TERAP,6.24734,100.77145
LOCATION:32,LANGKAWI,6.33333,99.75
LOCATION:31,KOTA SETAR,6.13164,100.34853
LOCATION:30,KULIM,5.32403,100.60851
LOCATION:29,KUBANG PASU,6.40508,100.43982
LOCATION:28,KUALA MUDA,5.56667,100.33333
LOCATION:27,BALING,5.67806,100.9177
LOCATION:46,PASIR PUTEH,5.83333,102.4
LOCATION:41,KOTA BHARU,6.05666,102.26451
LOCATION:42,KUALA KRAI,5.5313,102.19925
LOCATION:40,JELI,5.71493,101.88418
LOCATION:48,TUMPAT,6.19776,102.17098
LOCATION:47,TANAH MERAH,5.66667,102.0
LOCATION:44,MACHANG,5.76407,102.21414
LOCATION:38,BACHOK,6.06667,102.4
LOCATION:39,GUA MUSANG,4.8823,101.9644
LOCATION:45,PASIR MAS,6.0424976,102.1427782
LOCATION:49,KUALA LUMPUR,3.14309,101.68653
LOCATION:669,FP LABUAN,5.3333,115.2
LOCATION:765,CENTRAL MELAKA,,
LOCATION:53,MELAKA TENGAH,2.1674,102.3273
LOCATION:51,ALOR GAJAH,2.3804,102.2089
LOCATION:52,JASIN,2.3096,102.4281
LOCATION:56,KUALA PILAH,2.7389,102.2487
LOCATION:58,REMBAU,2.5897,102.0913
LOCATION:59,SEREMBAN,2.7297,101.9381
LOCATION:60,TAMPIN,2.4701,102.2302
LOCATION:54,JELEBU,3.0606425,102.133645
LOCATION:55,JEMPOL,2.869634,102.4696778
LOCATION:57,PORT DICKSON,2.5228,101.7959
LOCATION:65,KUANTAN,3.8077,103.326
LOCATION:61,BENTONG,3.413179,102.0466376
LOCATION:66,LIPIS,4.3430119,101.8803489
LOCATION:71,TEMERLOH,3.460309,102.4715911
LOCATION:67,MARAN,3.586,102.773
LOCATION:70,ROMPIN,2.7083,102.5047
LOCATION:69,RAUB,3.88333,101.83333
