location_id,location_name,latitude,longitude
LOCATION:1,JOHOR,1.4655,103.7578
LOCATION:2,KEDAH,6.12104,100.36014
LOCATION:3,KELANTAN,6.05666,102.26451
LOCATION:4,KUALA LUMPUR,3.1429996,101.6947998
LOCATION:5,LABUAN,4.890934,114.942834
LOCATION:6,MELAKA,2.2319263,102.294251
LOCATION:7,NEGERI SEMBILAN,2.7297,101.9381
LOCATION:8,PAHANG,3.8077,103.326
LOCATION:9,PULAU PINANG,5.41123,100.33543
LOCATION:10,PERAK,4.5841,101.0829
LOCATION:12,PUTRAJAYA,2.91667,101.7
LOCATION:13,SABAH,5.9749,116.0724
LOCATION:14,SARAWAK,1.58333,110.33333
LOCATION:15,SELANGOR,3.08507,101.53281
LOCATION:16,TERENGGANU,5.3302,103.1408
LOCATION:11,PERLIS,6.4407,100.1979
