location_id,location_name,latitude,longitude
LOCATION:316,DESARU,1.5402,104.268
LOCATION:327,PULAU SIBU,2.2205,104.0668
LOCATION:323,PULAU LANGKAWI,6.36667,99.8
LOCATION:332,TAMAN NEGARA KELANTAN,4.7,102.466667
LOCATION:315,CHERATING,4.12557,103.39388
LOCATION:317,GENTING HIGHLANDS,3.39545,101.77915
LOCATION:763,TASIKH BERA,,
LOCATION:312,BUKIT TINGGI,2.2872,103.6726
LOCATION:313,BUKIT FRASER,3.7126,101.7412
LOCATION:314,CAMERON HIGHLANDS,4.48333,101.45
LOCATION:329,PULAU TIOMAN,2.7972,104.166
LOCATION:330,PUSAT KONSERVASI GAJAH KEBANGSAAN,3.529165,102.158058
LOCATION:331,TAMAN NEGARA,4.6106103,102.4167082
LOCATION:544,TASIK BERA,3.8166668,102.3991574
LOCATION:762,FRASER'S HILL,,
LOCATION:334,TAMAN NEGARA PULAU PINANG,5.4500243,100.1935435
LOCATION:310,BATU FERINGGI,5.4709,100.24529
LOCATION:758,PENANG HILL,,
LOCATION:311,BUKIT BENDERA,2.3733,102.5104
LOCATION:319,LUMUT,4.2323,100.6298
LOCATION:324,PULAU PANGKOR,4.2311,100.5599
LOCATION:321,PAYA INDAH WETLANDS,2.8603852,101.6265801
LOCATION:333,TAMAN NEGARA KINABALU,6.1345,116.6375
LOCATION:328,PULAU SIPADAN,4.11472,118.63444
LOCATION:326,PULAU REDANG,5.77736,103.00759
LOCATION:335,TAMAN NEGARA TERENGGANU,4.8757231,102.9670403
LOCATION:336,TANJUNG JARA,4.8132,103.4257
LOCATION:337,TASIK KENYIR,5.0,102.8
LOCATION:322,PULAU KAPAS,5.2214,103.2653
LOCATION:325,PULAU PERHENTIAN,5.9145,102.7397
LOCATION:318,KIJAL,4.35,103.48333
