location_id,location_name,latitude,longitude
LOCATION:127,MUAR,2.0442,102.5689
LOCATION:126,TANGKAK,2.2673,102.5453
LOCATION:125,LABIS,2.385,103.021
LOCATION:124,JOHOR BAHRU,1.4655,103.7578
LOCATION:122,AYER HITAM,1.915,103.1808
LOCATION:123,BATU PAHAT,1.8548,102.9325
LOCATION:131,MERSING,2.4312,103.8405
LOCATION:659,ISKANDAR PUTERI,1.4135905,103.6317194
LOCATION:129,KLUANG,2.0251,103.3328
LOCATION:768,NUSAJAYA,1.4239,103.6485
LOCATION:130,KOTA TINGGI,1.7381,103.8999
LOCATION:134,PONTIAN,1.5,103.5
LOCATION:135,SEGAMAT,2.5148,102.8158
LOCATION:136,SENAI,1.64131,103.66962
LOCATION:137,SIMPANG RENGGAM,1.825,103.3107
LOCATION:138,YONG PENG,2.0136,103.0659
LOCATION:133,PASIR GUDANG,1.462,103.9053
LOCATION:439,KULAI,1.532949,103.6450341
LOCATION:128,PAGOH,2.1495,102.7704
LOCATION:426,SERDANG,5.2093299,100.6119237
LOCATION:139,ALOR STAR,6.12104,100.36014
LOCATION:140,BALING,5.67806,100.9177
LOCATION:141,JITRA,6.26812,100.42167
LOCATION:142,KUALA NERANG,6.25844,100.61264
LOCATION:143,KULIM,5.32403,100.60851
LOCATION:145,PENDANG,5.98458,100.60732
LOCATION:146,POKOK SENA,6.17055,100.51885
LOCATION:147,SIK,6.03482,100.8603
LOCATION:148,SUNGAI PETANI,5.647,100.48772
LOCATION:149,YAN,5.7905,100.39426
LOCATION:154,KUALA KRAI,5.5313,102.19925
LOCATION:155,LOJING,4.7046137,101.5553148
LOCATION:156,MACHANG,5.76407,102.21414
LOCATION:158,PASIR PUTEH,5.83333,102.4
LOCATION:160,TANAH MERAH,5.66667,102.0
LOCATION:161,TUMPAT,6.19776,102.17098
LOCATION:153,KOTA BHARU,6.05666,102.26451
LOCATION:152,JELI,5.71493,101.88418
LOCATION:151,GUA MUSANG,4.8823,101.9644
LOCATION:150,BACHOK,6.06667,102.4
LOCATION:159,RANTAU PANJANG,6.021325,101.9732687
LOCATION:157,PASIR MAS,6.0424976,102.1427782
LOCATION:169,SETAPAK,3.18333,101.7
LOCATION:340,KUALA LUMPUR,3.1429996,101.6947998
LOCATION:162,AMPANG,3.15,101.76667
LOCATION:163,BANGSAR,3.12222,101.67606
LOCATION:164,BUKIT BINTANG,5.63052,102.6479
LOCATION:165,CHERAS,3.05,101.76667
LOCATION:166,JALAN DUTA,3.1484,101.6779
LOCATION:167,KEPONG,3.21667,101.63333
LOCATION:168,SELAYANG,3.23581,101.66958
LOCATION:170,SUNGAI BESI,3.05,101.7
LOCATION:179,TANGGA BATU,2.2601,102.1523
LOCATION:766,MELAKA CITY,,
LOCATION:172,ALOR GAJAH,2.3804,102.2089
LOCATION:173,AYER KEROH,2.25368,102.25044
LOCATION:174,BANDARAYA MELAKA,2.196,102.2405
LOCATION:175,DURIAN TUNGGAL,2.3125,102.2805
LOCATION:176,JASIN,2.3096,102.4281
LOCATION:177,MASJID TANAH,2.3585,102.1029
LOCATION:178,MERLIMAU,2.1449,102.4251
LOCATION:188,SEREMBAN,2.7297,101.9381
LOCATION:189,TAMPIN,2.4701,102.2302
LOCATION:781,PDSA ENSTEK,2.72561,101.79606
LOCATION:180,GEMAS,2.5832,102.6117
LOCATION:181,JELEBU,2.8654,101.9137
LOCATION:182,JEMPOL,2.8026,102.3682
LOCATION:183,KUALA KLAWANG,2.9395,102.0704
LOCATION:184,KUALA PILAH,2.7389,102.2487
LOCATION:185,NILAI,2.8255,101.8111
LOCATION:186,PORT DICKSON,2.5228,101.7959
LOCATION:187,REMBAU,2.5897,102.0913
LOCATION:199,PEKAN,3.4836,103.3996
LOCATION:200,RAUB,3.88333,101.83333
LOCATION:201,TEMERLOH,3.4506,102.4176
LOCATION:202,TRIANG,3.2462,102.4155
LOCATION:198,MUADZAM SHAH,3.0627,103.0892
LOCATION:197,MENTAKAB,3.4854,102.3484
LOCATION:196,MARAN,3.586,102.773
LOCATION:195,KUALA ROMPIN,2.81667,103.48333
LOCATION:194,KUALA LIPIS,4.1842,102.0468
LOCATION:193,KUANTAN,3.8077,103.326
LOCATION:192,JERANTUT,3.936,102.3626
LOCATION:191,BERA,3.33333,102.5
LOCATION:773,BATU EMBUN,3.9707,102.3479
LOCATION:190,BENTONG,3.51667,101.9
LOCATION:204,BALIK PULAU,5.34916,100.23938
LOCATION:203,AYER ITAM,5.4,100.28333
LOCATION:205,BAYAN LEPAS,5.29992,100.26052
LOCATION:206,BATU KAWAN,2.2672,102.1149
LOCATION:207,BUTTERWORTH,5.3991,100.36382
LOCATION:208,BUKIT MERTAJAM,5.36301,100.4667
LOCATION:209,BUKIT TENGAH,5.35064,100.43042
LOCATION:210,GEORGETOWN,5.41123,100.33543
LOCATION:211,KEPALA BATAS,5.51707,100.4265
LOCATION:212,NIBONG TEBAL,5.16586,100.47793
LOCATION:213,PERAI,5.38333,100.38333
LOCATION:775,PRAI,5.3534,100.4053
LOCATION:231,SLIM RIVER,3.83333,101.4
LOCATION:226,SITIAWAN,4.2168,100.6996
LOCATION:216,BATU GAJAH,4.46916,101.04107
LOCATION:215,BAGAN SERAI,5.0108,100.54101
LOCATION:225,SUNGAI SIPUT,4.3945,101.1947
LOCATION:227,TAIPING,4.85,100.73333
LOCATION:224,SELAMA,5.2236,100.69262
LOCATION:223,PARIT BUNTAR,5.12671,100.49316
LOCATION:222,LENGGONG,5.10633,100.96792
LOCATION:221,KUALA KANGSAR,4.76667,100.93333
LOCATION:434,BAGAN DATUK,3.989949,100.785137
LOCATION:217,GERIK,5.41667,101.13333
LOCATION:220,KAMPAR,4.3,101.15
LOCATION:228,TAPAH,4.18333,101.26667
LOCATION:431,SERI ISKANDAR,4.3519013,100.9782762
LOCATION:219,IPOH,4.5841,101.0829
LOCATION:774,LUBOK MERBAU,4.795,100.896
LOCATION:230,TELUK INTAN,4.0259,101.0213
LOCATION:218,GOPENG,4.4715,101.1663
LOCATION:780,PADANG BESAR,6.6624,100.3211
LOCATION:753,PERLIS,6.4407,100.1979
LOCATION:237,PUTRAJAYA,2.91667,101.7
LOCATION:772,KASA,2.94569,101.70874
LOCATION:770,TAMAN NEGARA GUNUNG MULU,4.09,114.89
LOCATION:771,TAMAN NEGARA NIAH,3.8,113.78
LOCATION:776,MULU,4.0484,114.8099
LOCATION:299,SERI KEMBANGAN,3.03333,101.71667
LOCATION:283,BANGI,2.9,101.78333
LOCATION:284,BANTING,2.8136,101.50185
LOCATION:285,BATU CAVES,3.23333,101.7
LOCATION:286,CYBERJAYA,2.92281,101.65718
LOCATION:287,DAMANSARA,3.13333,101.63333
LOCATION:288,KAJANG,2.9927,101.7909
LOCATION:289,KUALA KUBU BHARU,3.5638,101.6581
LOCATION:290,KUALA SELANGOR,3.33333,101.25
LOCATION:291,RAWANG,3.3213,101.5767
LOCATION:293,PETALING JAYA,3.10726,101.60671
LOCATION:294,SABAK BERNAM,3.58333,101.11667
LOCATION:295,SHAH ALAM,3.08507,101.53281
LOCATION:296,SEMENYIH,2.9516,101.843
LOCATION:297,SENTUL,3.18333,101.68333
LOCATION:298,SEPANG,2.75,101.66667
LOCATION:300,SUBANG JAYA,3.04384,101.58062
LOCATION:537,PELABUHAN KLANG,3.0430916,101.4413921
LOCATION:764,PORT KLANG,,
LOCATION:782,KFC TAMAN SRI MUDA SHAH ALAM,3.02205,101.53968
LOCATION:309,SETIU,5.55008,102.73551
LOCATION:308,PAKA,4.6374,103.4368
LOCATION:307,KUALA TERENGGANU,5.3302,103.1408
LOCATION:306,KERTIH,4.5141,103.4483
LOCATION:305,KEMAMAN,4.21667,103.2
LOCATION:301,BANDAR PERMAISURI,5.52241,102.74854
LOCATION:304,JERTEH,5.7336,102.4897
LOCATION:777,KERTEH,4.5409,103.4286
LOCATION:303,DUNGUN,4.775,103.4162
LOCATION:302,BESUT,5.57107,102.51911
LOCATION:437,KUALA NERUS,5.3776776,103.0636803
